member_index,title,content,category
9,Things I wish I knew before coming to Korea,"Things I wish I knew before coming to Korea I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",DAILY_TIPS
48,Any good cafes near campus?,"Any good cafes near campus? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",CAMPUS
20,Looking for people to run together,"Looking for people to run together I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
45,What surprised me the most here,"What surprised me the most here I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",DAILY_TIPS
14,Foreigner registration card questions,"Foreigner registration card questions I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",QNA
1,Late night food recommendations,"Late night food recommendations I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",EATS
3,Late night food recommendations,"Late night food recommendations I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",EATS
45,Foreigner registration card questions,"Foreigner registration card questions I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",QNA
13,Small daily tips for living in Korea,"Small daily tips for living in Korea I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",DAILY_TIPS
38,How does part-time work work here?,"How does part-time work work here? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",QNA
6,Things I wish I knew before coming to Korea,"Things I wish I knew before coming to Korea I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",DAILY_TIPS
34,Foreigner registration card questions,"Foreigner registration card questions I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",QNA
8,Looking for people to run together,"Looking for people to run together I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
5,Any yoga studios you recommend?,"Any yoga studios you recommend? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
3,Things I wish I knew before coming to Korea,"Things I wish I knew before coming to Korea I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",DAILY_TIPS
18,Small daily tips for living in Korea,"Small daily tips for living in Korea I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",DAILY_TIPS
46,Any yoga studios you recommend?,"Any yoga studios you recommend? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
43,Question about exchange student classes,"Question about exchange student classes I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",QNA
40,Anyone down for hiking this weekend?,"Anyone down for hiking this weekend? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
45,Best places to study on campus?,"Best places to study on campus? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",CAMPUS
43,Best food spots near school?,"Best food spots near school? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",EATS
22,Any good cafes near campus?,"Any good cafes near campus? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",CAMPUS
40,Any yoga studios you recommend?,"Any yoga studios you recommend? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
4,How does part-time work work here?,"How does part-time work work here? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",QNA
7,Best food spots near school?,"Best food spots near school? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",EATS
46,Things I wish I knew before coming to Korea,"Things I wish I knew before coming to Korea I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",DAILY_TIPS
9,Dorm life tips for exchange students,"Dorm life tips for exchange students I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",CAMPUS
3,Dorm life tips for exchange students,"Dorm life tips for exchange students I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",CAMPUS
16,Anyone down for hiking this weekend?,"Anyone down for hiking this weekend? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
29,Looking for people to run together,"Looking for people to run together I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
43,Things I wish I knew before coming to Korea,"Things I wish I knew before coming to Korea I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",DAILY_TIPS
43,Best places to study on campus?,"Best places to study on campus? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",CAMPUS
9,Looking for people to run together,"Looking for people to run together I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
40,Best food spots near school?,"Best food spots near school? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",EATS
20,Question about exchange student classes,"Question about exchange student classes I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",QNA
12,Good places for eating alone?,"Good places for eating alone? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",EATS
15,How does part-time work work here?,"How does part-time work work here? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",QNA
5,Any yoga studios you recommend?,"Any yoga studios you recommend? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
16,Best places to study on campus?,"Best places to study on campus? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",CAMPUS
38,Late night food recommendations,"Late night food recommendations I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",EATS
22,Any yoga studios you recommend?,"Any yoga studios you recommend? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
37,What surprised me the most here,"What surprised me the most here I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",DAILY_TIPS
21,Any yoga studios you recommend?,"Any yoga studios you recommend? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
36,How does part-time work work here?,"How does part-time work work here? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",QNA
23,Best food spots near school?,"Best food spots near school? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",EATS
24,Anyone down for hiking this weekend?,"Anyone down for hiking this weekend? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
47,Anyone down for hiking this weekend?,"Anyone down for hiking this weekend? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",ACTIVITY
28,Dorm life tips for exchange students,"Dorm life tips for exchange students I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",CAMPUS
18,Best places to study on campus?,"Best places to study on campus? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",CAMPUS
41,Best places to study on campus?,"Best places to study on campus? I wanted to share my experience and hear what others think. If you have any recommendations or similar experiences, feel free to comment. Thanks!",CAMPUS
